CNS,Dat. Instalação,Denominação,Tipo,Atribuições,Status,Situação jurídica da serventia,Data decisão,UF,Cidade,E-mail contato,Dat. ingresso responsável,Responsável,Substituto
09.785-7,08/10/1979,OFICIO DE REGISTROS PUBLICOS,Privatizada,Protesto de Títulos / Registro Civil das Pessoas Naturais e de Interdições e Tutelas / Registro de Imóveis / Registro de Títulos e Documentos e Civis das Pessoas Jurídicas,Ativo,PROVIDO,12/07/2010,RS,VICENTE DUTRA,registrosvd@gmail.com,2024-07-14,ELIZABETE CARDOSO RAMOS,-
09.786-5,14/07/1990,SERVIÇO DE REGISTROS PÚBLICOS,Oficializada,Registro Civil das Pessoas Naturais e de Interdições e Tutelas / Registro de Imóveis / Registro de Títulos e Documentos e Civis das Pessoas Jurídicas,Ativo,PROVIDO,19/10/2021,RS,SANTO ANTONIO DAS MISSOES,registrossantoantonio@gmail.com,2024-07-05,BIANCA FRANCINI DULLIUS,RAFAEL MATURANO CORó
09.787-3,22/10/1993,OFÍCIO DE REGISTROS PÚBLICOS,Privatizada,Protesto de Títulos / Registro Civil das Pessoas Naturais e de Interdições e Tutelas / Registro de Imóveis / Registro de Títulos e Documentos e Civis das Pessoas Jurídicas,Ativo,PROVIDO,12/07/2010,RS,SELBACH,miriamrfisch@gmail.com,2006-12-15,MIRIAM ESTER ROHDE FISCH,ALEX FISCH
09.788-1,02/05/1935,OFÍCIO DE REGISTROS PÚBLICOS,Privatizada,Registro Civil das Pessoas Naturais e de Interdições e Tutelas / Registro de Imóveis / Registro de Títulos e Documentos e Civis das Pessoas Jurídicas,Ativo,PROVIDO,12/07/2010,RS,GETULIO VARGAS,contato@rpgv.com.br,2024-07-04,EMIR BORGES WOLFFENBUTTEL,GLADEMIR FAGUNDES WOLFFENBÜTTEL
09.789-9,08/06/1995,Ofício de Registros Públicos Cassia SDM,Privatizada,Protesto de Títulos / Registro Civil das Pessoas Naturais e de Interdições e Tutelas / Registro de Imóveis / Registro de Títulos e Documentos e Civis das Pessoas Jurídicas,Ativo,PROVIDO,12/07/2010,RS,CACIQUE DOBLE,sdmcassia@gmail.com,2007-01-02,CáSSIA SMANIOTTO DAL MOLIN,LENIRA TEREZINHA FAGGION SARTORI
09.790-7,04/10/1920,OFÍCIO DOS REGISTROS PÚBLICOS,Privatizada,Protesto de Títulos / Registro Civil das Pessoas Naturais e de Interdições e Tutelas / Registro de Imóveis / Registro de Títulos e Documentos e Civis das Pessoas Jurídicas,Ativo,CONVERSÃO EM DILIGÊNCIA,08/05/2025,RS,CAMPINA DAS MISSOES,registros.campina@gmail.com,2025-05-08,ALYSSON ALDO SANSON,SABRINA EICH
09.791-5,30/06/1990,Ofício de Registros Públicos da Comarca de Feliz/RS,Oficializada,Registro Civil das Pessoas Naturais e de Interdições e Tutelas / Registro de Imóveis / Registro de Títulos e Documentos e Civis das Pessoas Jurídicas,Ativo,CONVERSÃO EM DILIGÊNCIA,05/05/2025,RS,FELIZ,registrofeliz@gmail.com,2025-05-02,JOSÉ HAMILTON RUJANOSKI,LUANA CLAVIJO TEIXEIRA
09.792-3,09/11/1992,Ofício de Registros Públicos de Cidreira,Privatizada,Registro Civil das Pessoas Naturais e de Interdições e Tutelas / Registro de Imóveis / Registro de Títulos e Documentos e Civis das Pessoas Jurídicas,Ativo,PROVIDO,14/03/2022,RS,CIDREIRA,regpublicoscidreira@hotmail.com,2024-07-12,HENRIQUE ALMEIDA RIBEIRO,JOSEANE RASQUINHA RODRIGUES
09.793-1,10/11/1989,Ofício de Registros Públicos de Palmares do Sul/RS,Privatizada,Registro Civil das Pessoas Naturais e de Interdições e Tutelas / Registro de Imóveis / Registro de Títulos e Documentos e Civis das Pessoas Jurídicas,Ativo,VAGO,28/08/2020,RS,PALMARES DO SUL,cartoriopalmares@terra.com.br,2024-07-12,HENRIQUE ALMEIDA RIBEIRO,ROSANGELA DE FATIMA DA COSTA MARTINS
09.794-9,16/01/1889,Registros Públicos e Tabelionato de Protestos,Privatizada,Protesto de Títulos / Registro Civil das Pessoas Naturais e de Interdições e Tutelas / Registro de Imóveis / Registro de Títulos e Documentos e Civis das Pessoas Jurídicas,Ativo,PROVIDO,28/10/2021,RS,TRIUNFO,cartoriodetriunfo@gmail.com,2018-03-16,SHEILA RüSCHE JORGE,ALISON DE FREITAS SOUZA
09.795-6,28/01/1950,OFICIO DE SEDE MUNICIPAL,Privatizada,Notas / Protesto de Títulos / Registro Civil das Pessoas Naturais e de Interdições e Tutelas / Registro de Títulos e Documentos e Civis das Pessoas Jurídicas,Ativo,PROVIDO,21/07/2023,RS,LIBERATO SALZANO,tabelionato-liberatosalzano@hotmail.com,2024-07-15,SALETE FARESIN,-
09.796-4,25/05/1971,ITAARA TABELIONATO DE NOTAS E REGISTRO CIVIL,Oficializada,Notas / Registro Civil das Pessoas Naturais e de Interdições e Tutelas,Ativo,PROVIDO,26/03/2025,RS,ITAARA,contato.notas@tabelionatoitaara.com.br,2024-07-10,ANDRESSA KARINA PFEFFER GALLIO,CECÍLIA VANUSA DA SILVA PORTELA
09.798-0,31/10/1896,OFÍCIO DE SERVIÇOS NOTARIAIS E DE REGISTROS DE GLORINHA,Privatizada,Notas / Registro Civil das Pessoas Naturais e de Interdições e Tutelas,Ativo,PROVIDO,12/07/2010,RS,GLORINHA,cartorio@cartorioglorinha.com.br,2024-07-04,JOSÉ LEONEL BITELLO MACHADO,CÉSAR AUGUSTO PAULUS RODRIGUES JÚNIOR
09.799-8,01/09/1947,OFICIO DE SERVIÇOS NOTARIAS E REGISTROS DE ITATIBA DO SUL/RS,Privatizada,Notas / Registro Civil das Pessoas Naturais e de Interdições e Tutelas,Ativo,VAGO,04/06/2025,RS,ITATIBA DO SUL,cartorio.itatiba@gmail.com,2025-06-02,MARIA FERNANDA BUTARELO TOFFOLI,-
09.800-4,20/11/1872,"OFÍCIO DE SERVIÇOS REGISTRAIS, NOTARIAIS E ESPECIAIS",Oficializada,Notas / Protesto de Títulos / Registro Civil das Pessoas Naturais e de Interdições e Tutelas / Registro de Títulos e Documentos e Civis das Pessoas Jurídicas,Ativo,PROVIDO,12/07/2010,RS,PANTANO GRANDE,notaspgrs@gmail.com,2024-07-15,REGIS ILHA,LUCAS MICHELS ILHA
09.801-2,05/05/1913,Ofício Distrital de Passo Raso,Oficializada,Notas / Registro Civil das Pessoas Naturais e de Interdições e Tutelas,Ativo,PROVIDO,12/07/2010,RS,TRIUNFO,cartoriodalsanto@gmail.com,2024-07-13,LOURDES DAL SANTO,STEVAN DAL SANTO DUTRA
09.803-8,29/09/1926,Ofício do Registro Civil da 3ª Zona,Privatizada,Registro Civil das Pessoas Naturais e de Interdições e Tutelas,Ativo,PROVIDO,12/07/2010,RS,PORTO ALEGRE,marco.bueno@tjrs.jus.br,2024-07-17,MARCO ANTôNIO DA SILVA BUENO,ROBERTO CARLOS VEIGA BUENO
09.804-6,02/11/1876,GUAIBA CARTORIO DE REGISTRO CIVIL ESPECIAL E PROTESTO,Privatizada,Protesto de Títulos / Registro Civil das Pessoas Naturais e de Interdições e Tutelas / Registro de Títulos e Documentos e Civis das Pessoas Jurídicas,Ativo,CONVERSÃO EM DILIGÊNCIA,02/05/2025,RS,GUAIBA,cartorioguaibars@gmail.com,2025-05-02,SôNIA CRISTIANE URBAINSKI,REGINA DICHUTA COUTINHO
09.805-3,01/01/1876,Ofício do Registro Civil das Pessoas Naturais,Privatizada,Registro Civil das Pessoas Naturais e de Interdições e Tutelas,Ativo,PROVIDO,12/07/2010,RS,SAO LEOPOLDO,contato@saoleopoldoregistrocivil.com.br,2024-07-15,NERI ODETE JAQUES DA ROSA,LUCIANA DA ROSA DOS SANTOS
09.806-1,05/07/1918,Ofício do Registro Civil das Pessoas Naturais da 1ª Zona de Erechim/RS,Privatizada,Registro Civil das Pessoas Naturais e de Interdições e Tutelas,Ativo,VAGO,05/05/2025,RS,ERECHIM,rcpnerechim@hotmail.com,2025-05-02,MATEUS KNOB VOSZYL,-
09.807-9,21/05/1889,Oficio do Registro Civil das Pessoas Naturais,Privatizada,Registro Civil das Pessoas Naturais e de Interdições e Tutelas / Registro de Títulos e Documentos e Civis das Pessoas Jurídicas,Ativo,PROVIDO,16/07/2010,RS,SOLEDADE,rcivilsoledade@outlook.com,2024-07-10,JOANA DARC DE MORAES MALHEIROS,MATHEUS CALEGARI BRUGNERA
09.808-7,26/03/1990,OFÍCIO DO REGISTRO CIVIL DAS PESSOAS NATURAIS,Privatizada,Registro Civil das Pessoas Naturais e de Interdições e Tutelas,Ativo,PROVIDO,26/03/2025,RS,VIAMAO,registrocivilviamao@yahoo.com.br,2024-07-12,MILENA MUNERO PREDEBON,DOUGLAS GUIMARãES LOPES
09.809-5,17/02/1876,REGISTRO CIVIL DAS PESSOAS NATURAIS DE JAGUARÃO,Oficializada,Registro Civil das Pessoas Naturais e de Interdições e Tutelas,Ativo,CONVERSÃO EM DILIGÊNCIA,02/06/2025,RS,JAGUARAO,registrodejaguarao@bol.com.br,2025-06-02,GILBERTO LA-FLOR,-
09.810-3,19/01/1889,OFICIO DO REGISTRO CIVIL DAS PESSOAS NATURAIS,Privatizada,Registro Civil das Pessoas Naturais e de Interdições e Tutelas,Ativo,PROVIDO,12/07/2010,RS,TORRES,rciviltorres@hotmail.com,2024-07-15,RUY LUIZ DE FREITAS FILHO,GUSTAVO CARVALHO DE FREITAS
09.811-1,16/01/1950,Ofício do Registro Civil das Pessoas Naturais da 2ª Zona,Privatizada,Registro Civil das Pessoas Naturais e de Interdições e Tutelas,Ativo,CONVERSÃO EM DILIGÊNCIA,05/05/2025,RS,CANOAS,atendimento@registrocivilcanoas.com.br,2025-05-02,PEDRO ÍTALO DA COSTA BACELAR,SANDRA ADRIANA SCHNORNBERGER FREITAS
09.812-9,08/01/1889,REGISTRO CIVIL DAS PESSOAS NATURAIS DE LAJEADO/RS,Privatizada,Registro Civil das Pessoas Naturais e de Interdições e Tutelas,Ativo,PROVIDO,12/07/2010,RS,LAJEADO,cartoriocivil.lajeado@gmail.com,2024-07-09,CLARISSE MARIA WERNER KNAPP,GUSTAVO WERNER
09.813-7,01/01/1897,Ofício do Registro Civil das Pessoas Naturais e de Interdições e Tutelas,Privatizada,Registro Civil das Pessoas Naturais e de Interdições e Tutelas,Ativo,PROVIDO,12/07/2010,RS,BOM JESUS,luizkuhn@hotmail.com,2024-07-15,LUIZ CARLOS KUHN,MARITANIA LUCIA RODRIGUES
09.814-5,17/04/1871,CARTÓRIO CRUZ ALTA,Privatizada,Protesto de Títulos / Registro Civil das Pessoas Naturais e de Interdições e Tutelas / Registro de Títulos e Documentos e Civis das Pessoas Jurídicas,Ativo,VAGO,02/05/2025,RS,CRUZ ALTA,cartorio@cartoriocruzalta.com.br,2025-05-02,MARISIANE LÚCIA PRETTO FELTEZ,-
09.815-2,27/10/1888,REGISTRO CIVIL E ESPECIAIS DE TAQUARA,Privatizada,Protesto de Títulos / Registro Civil das Pessoas Naturais e de Interdições e Tutelas / Registro de Títulos e Documentos e Civis das Pessoas Jurídicas,Ativo,CONVERSÃO EM DILIGÊNCIA,25/04/2025,RS,TAQUARA,administrativo@cartoriotaquara.com.br,2025-04-25,PRICILA KRAHL,-
09.816-0,30/06/1889,Serviço Notarial Registral Barão,Privatizada,Notas / Registro Civil das Pessoas Naturais e de Interdições e Tutelas,Ativo,PROVIDO,26/03/2025,RS,BARAO,crvabarao@gmail.com,2023-06-01,LEANDRO GIRARDI,JARBAS LUÍS BORDINHÃO
09.817-8,20/01/1880,OFÍCIO DO REGISTRO DE IMÓVEIS,Privatizada,Registro de Imóveis,Ativo,PROVIDO,22/02/2021,RS,SANTA MARIA,risma.atendimento@gmail.com,2020-11-23,RICARDO ANDERSON RIOS DE SOUZA MARTINS,LUIZ HENRIQUE SILVEIRA DOS SANTOS
09.818-6,29/08/1898,OFICIO DO REGISTRO DE IMÓVEIS,Privatizada,Registro de Imóveis,Ativo,CONVERSÃO EM DILIGÊNCIA,05/05/2025,RS,SAO SEPE,registro.saosepe@gmail.com,2025-05-02,GUILHERME MATTEI BORSOI,THIAGO VARGAS DE VARGAS
09.819-4,30/06/1890,OFICIO DO REGISTRO DE IMÓVEIS,Privatizada,Registro de Imóveis,Ativo,VAGO,15/08/2024,RS,PALMEIRA DAS MISSOES,ripalmeiradasmissoes@gmail.com,2024-08-15,JULIANO BREITENBACH,IRTON JOSE DIESEL JUNIOR
09.820-2,18/07/1956,Ofício do Registro de Imóveis e Anexos,Privatizada,Protesto de Títulos / Registro de Imóveis / Registro de Títulos e Documentos e Civis das Pessoas Jurídicas,Ativo,PROVIDO,12/07/2010,RS,MARAU,cartorioflores@cartoriomarau.com.br,2024-07-14,JOAQUIM LUIZ DE MELLO FLôRES,VERA LUCIA FLORES PERIN
09.821-0,10/09/1866,OFICIO DO REGISTRO DE IMOVEIS E ESPECIAIS,Privatizada,Protesto de Títulos / Registro de Imóveis / Registro de Títulos e Documentos e Civis das Pessoas Jurídicas,Ativo,PROVIDO,12/07/2010,RS,ITAQUI,imoveis@cartoriositaqui.com.br,1976-12-20,ARLINDO SIQUEIRA DIAS,MARCIO MARCELO ROCHA DIAS
09.822-8,25/05/1971,Tramandaí - Registro de Imóveis,Privatizada,Protesto de Títulos / Registro de Imóveis / Registro de Títulos e Documentos e Civis das Pessoas Jurídicas,Ativo,PROVIDO,12/07/2010,RS,TRAMANDAI,marcelo@registraltramandai.com.br,2024-07-09,MARCELO SACCOL COMASSETTO,SIMONE STEFFEN COMASSETTO
09.823-6,20/09/1883,Ofício de Registro de Imóveis,Privatizada,Registro de Imóveis,Ativo,PROVIDO,12/07/2010,RS,SOLEDADE,contato@risoledade.com.br,2024-07-12,NICáCIO JOãO MARIA DE LIMA,LUCAS BRITO MEINEN
09.824-4,01/10/1929,TABELIONATO DE PROTESTOS E REGISTROS ESPECIAIS DE CACHOEIRA DO SUL,Privatizada,Protesto de Títulos / Registro de Títulos e Documentos e Civis das Pessoas Jurídicas,Ativo,VAGO,23/09/2024,RS,CACHOEIRA DO SUL,protestocachoeira@gmail.com,2024-09-23,MARCELO TWORKOWSKI,MATEUS HICKMANN ALVES
09.825-1,17/01/1972,OFÍCIO DOS REGISTROS ESPECIAIS,Privatizada,Protesto de Títulos / Registro de Títulos e Documentos e Civis das Pessoas Jurídicas,Ativo,PROVIDO,12/07/2010,RS,SANTA MARIA,rtdpj@tabelionatoxisto.not.br,2024-07-12,PAULO ODILON XISTO,REGINALDO SILVA BECKER
09.826-9,15/11/1967,Serviço de Registro e Tabelionato de Protesto de Titulos de Gravataí,Oficializada,Protesto de Títulos / Registro Civil das Pessoas Naturais e de Interdições e Tutelas / Registro de Títulos e Documentos e Civis das Pessoas Jurídicas,Ativo,PROVIDO,12/07/2010,RS,GRAVATAI,civil@cartoriocabeleirabitelo.com.br,2024-07-15,VALECY CABELEIRA BITELO,NISE PAULA BITELO STARLING
09.827-7,03/08/1927,CARTÓRIO MAXIMILIANO DE ALMEIDA,Oficializada,Registro Civil das Pessoas Naturais e de Interdições e Tutelas / Registro de Imóveis / Registro de Títulos e Documentos e Civis das Pessoas Jurídicas,Ativo,PROVIDO,12/03/2023,RS,MAXIMILIANO DE ALMEIDA,cartoriomaxrs@gmail.com,2024-07-12,EMILIO JUAREZ DE AVILA FALCAO,EMILIO FALCÃO
09.828-5,01/02/1919,OFÍCIO DE REGISTROS PÚBLICOS DE SEBERI,Privatizada,Registro Civil das Pessoas Naturais e de Interdições e Tutelas / Registro de Imóveis / Registro de Títulos e Documentos e Civis das Pessoas Jurídicas,Ativo,CONVERSÃO EM DILIGÊNCIA,08/05/2025,RS,SEBERI,cartorioseberi@gmail.com,2025-05-08,IGOR JACOBSON,-
09.829-3,01/03/1892,Ofício dos Registros Públicos,Oficializada,Registro Civil das Pessoas Naturais e de Interdições e Tutelas / Registro de Imóveis / Registro de Títulos e Documentos e Civis das Pessoas Jurídicas,Ativo,PROVIDO,16/03/2022,RS,ENCANTADO,cartorioencantado@gmail.com,2024-07-04,RICARDO LUIZ DE LIMA TRINDADE,-
09.830-1,12/10/1978,Ofício dos Registros Públicos,Privatizada,Protesto de Títulos / Registro Civil das Pessoas Naturais e de Interdições e Tutelas / Registro de Imóveis / Registro de Títulos e Documentos e Civis das Pessoas Jurídicas,Ativo,PROVIDO,12/07/2010,RS,SERTAO,protesto.sertao@gmail.com,2024-07-15,EDUARDO JUNG MESSA,INDIARA MERLIN DE COL
09.831-9,23/01/1950,SERVIÇO NOTARIAL E REGISTRAL DE PLANALTO RS,Privatizada,Protesto de Títulos / Registro Civil das Pessoas Naturais e de Interdições e Tutelas / Registro de Imóveis / Registro de Títulos e Documentos e Civis das Pessoas Jurídicas,Ativo,VAGO,01/04/2024,RS,PLANALTO,registrocivilplanalto@outlook.com,2024-07-15,DANIELA GARCIA,-
09.832-7,11/07/1979,OFÍCIO DOS REGISTROS PÚBLICOS,Privatizada,Registro Civil das Pessoas Naturais e de Interdições e Tutelas / Registro de Imóveis / Registro de Títulos e Documentos e Civis das Pessoas Jurídicas,Ativo,PROVIDO,12/07/2010,RS,ROCA SALES,cartoriorocasales@gmail.com,2024-07-22,DANIELA GRANDEAUX,EDUARDO ALVES SALGADO
09.833-5,07/01/1889,OFÍCIO DOS REGISTROS PÚBLICOS,Privatizada,Registro Civil das Pessoas Naturais e de Interdições e Tutelas / Registro de Imóveis / Registro de Títulos e Documentos e Civis das Pessoas Jurídicas,Ativo,VAGO,28/10/2019,RS,SAO FRANCISCO DE ASSIS,claudetepagel@gmail.com,2024-07-15,CLAUDETE PAGEL,-
09.834-3,08/11/1922,OFICIO DE REGISTROS PÚBLICOS DE ARVOREZINHA,Privatizada,Protesto de Títulos / Registro Civil das Pessoas Naturais e de Interdições e Tutelas / Registro de Imóveis / Registro de Títulos e Documentos e Civis das Pessoas Jurídicas,Ativo,PROVIDO,26/03/2025,RS,ARVOREZINHA,rcpnarvorezinha@gmail.com,2024-07-11,ADRIANA DE OLIVEIRA BERTOLINO,VANUZA BENACCHIO
09.835-0,03/10/1876,OFÍCIO DOS REGISTROS PÚBLICOS DE HERVAL,Privatizada,Protesto de Títulos / Registro Civil das Pessoas Naturais e de Interdições e Tutelas / Registro de Imóveis / Registro de Títulos e Documentos e Civis das Pessoas Jurídicas,Ativo,CONVERSÃO EM DILIGÊNCIA,04/06/2025,RS,HERVAL,contato@registrodeherval.com.br,2025-06-04,ANDERSON DRUCK DA COSTA,SAMUEL ESCOBAR MEDEIROS
09.836-8,17/04/1928,REGISTROS PÚBLICOS DE ARROIO DO TIGRE,Oficializada,Protesto de Títulos / Registro Civil das Pessoas Naturais e de Interdições e Tutelas / Registro de Imóveis / Registro de Títulos e Documentos e Civis das Pessoas Jurídicas,Ativo,VAGO,18/12/2024,RS,ARROIO DO TIGRE,cartorioarroiodotigre@gmail.com,2024-12-02,MARCELA PASUCH,MARISSOL SIEBERT RECH
09.837-6,01/04/1978,Ofício dos Registros Públicos de Guarani das Missões,Privatizada,Registro Civil das Pessoas Naturais e de Interdições e Tutelas / Registro de Imóveis / Registro de Títulos e Documentos e Civis das Pessoas Jurídicas,Ativo,CONVERSÃO EM DILIGÊNCIA,02/06/2025,RS,GUARANI DAS MISSOES,cartorioguarani@hotmail.com,2025-06-02,YURI AMORIM DA CUNHA,RAFAELA JAROSZEWSKI
09.838-4,18/10/1978,OFICIO DOS REGISTROS PUBLICOS E TABELIONATO DE PROTESTOS,Privatizada,Protesto de Títulos / Registro Civil das Pessoas Naturais e de Interdições e Tutelas / Registro de Imóveis / Registro de Títulos e Documentos e Civis das Pessoas Jurídicas,Ativo,VAGO,01/11/2023,RS,DOM FELICIANO,registrodf@hotmail.com,2023-11-01,CLAUDIA MARIA CORREA GUERRA,MARISTEL ENILDA BRAGA
09.839-2,23/11/1956,OFICIO DOS REGISTROS PÚBLICOS,Privatizada,Protesto de Títulos / Registro Civil das Pessoas Naturais e de Interdições e Tutelas / Registro de Imóveis / Registro de Títulos e Documentos e Civis das Pessoas Jurídicas,Ativo,PROVIDO,12/07/2010,RS,GIRUA,fernandop1953@terra.com.br,2024-07-11,FERNANDO GERALDO DA ROSA PALMEIRO,ARIANE KAMIEN SOARES
09.840-0,05/04/1978,OFÍCIO DOS REGISTROS PÚBLICOS,Privatizada,Protesto de Títulos / Registro Civil das Pessoas Naturais e de Interdições e Tutelas / Registro de Imóveis / Registro de Títulos e Documentos e Civis das Pessoas Jurídicas,Ativo,PROVIDO,09/07/2024,RS,PORTO XAVIER,cartoriopx@hotmail.com,1986-04-03,DIRCEU WENDT DA SILVA,CRISTIANY ENGERS
09.841-8,20/08/1897,Oficio dos Registros Publicos de Bossoroca,Privatizada,Protesto de Títulos / Registro Civil das Pessoas Naturais e de Interdições e Tutelas / Registro de Imóveis / Registro de Títulos e Documentos e Civis das Pessoas Jurídicas,Ativo,PROVIDO,23/11/2021,RS,BOSSOROCA,cartorio.bossoroca@hotmail.com,2024-07-30,NéLIO MARKS,SANDRA MARIA NUNES NASCIMENTO
09.842-6,01/02/1919,OFÍCIO DOS REGISTROS PÚBLICOS,Privatizada,Protesto de Títulos / Registro Civil das Pessoas Naturais e de Interdições e Tutelas / Registro de Imóveis / Registro de Títulos e Documentos e Civis das Pessoas Jurídicas,Ativo,PROVIDO,12/07/2010,RS,CONSTANTINA,edsondecarli@yahoo.com.br,2024-07-10,EDSON LUIZ DE CARLI,ALAN FOSCHIERA
09.843-4,14/04/1981,OFÍCIO DOS REGISTROS PÚBLICOS,Privatizada,Protesto de Títulos / Registro Civil das Pessoas Naturais e de Interdições e Tutelas / Registro de Imóveis / Registro de Títulos e Documentos e Civis das Pessoas Jurídicas,Ativo,SOB INTERVENÇÃO,26/11/2024,RS,SAO PAULO DAS MISSOES,cartoriorpublicossp@gmail.com,2024-11-01,PAULO ODONE FORTES BUENO,NATALINO DE JESUS PINHEIRO
09.844-2,19/05/1904,OFÍCIO DOS REGISTROS PÚBLICOS DE CASCA,Privatizada,Registro Civil das Pessoas Naturais e de Interdições e Tutelas / Registro de Imóveis / Registro de Títulos e Documentos e Civis das Pessoas Jurídicas,Ativo,PROVIDO,12/07/2010,RS,CASCA,rpcasca@rpcasca.com.br,2024-07-12,DENIZE ALBAN SCHEIBLER,RAFAEL SCHEIBLER
09.845-9,01/10/1979,OFICIO DOS REGISTROS PÚBLICOS DE COLORADO,Privatizada,Protesto de Títulos / Registro Civil das Pessoas Naturais e de Interdições e Tutelas / Registro de Imóveis / Registro de Títulos e Documentos e Civis das Pessoas Jurídicas,Ativo,VAGO,05/05/2025,RS,COLORADO,registro.colorado@gmail.com,2025-05-02,CATARINA MINO,-
09.846-7,01/07/1934,OFICIO DOS REGISTROS PÚBLICOS DE TUCUNDUVA,Privatizada,Registro Civil das Pessoas Naturais e de Interdições e Tutelas / Registro de Imóveis / Registro de Títulos e Documentos e Civis das Pessoas Jurídicas,Ativo,VAGO,18/07/2025,RS,TUCUNDUVA,civiltucunduva@yahoo.com.br,-,ROGÉRIO LUIS RUTZEN,-
09.847-5,02/01/1957,OFÍCIO DOS REGISTROS PÚBLICOS,Privatizada,Protesto de Títulos / Registro Civil das Pessoas Naturais e de Interdições e Tutelas / Registro de Imóveis / Registro de Títulos e Documentos e Civis das Pessoas Jurídicas,Ativo,PROVIDO,17/03/2022,RS,NOVA PETROPOLIS,registrosnp@gmail.com,2024-07-11,GUSTAVO HENRIQUE MATTOS VOLTOLINI,LIGIA BEATRIS PONATH
09.848-3,10/09/1962,OFICIO DOS REGISTROS PUBLICOS DE PEDRO OSÓRIO,Privatizada,Registro Civil das Pessoas Naturais e de Interdições e Tutelas / Registro de Imóveis / Registro de Títulos e Documentos e Civis das Pessoas Jurídicas,Ativo,CONVERSÃO EM DILIGÊNCIA,06/05/2025,RS,PEDRO OSORIO,cartorioregistrospo@yahoo.com.br,2025-05-06,CARINA GOULART DA SILVA,-
09.849-1,08/01/1915,OFICIO DOS REGISTROS PÚBLICOS,Privatizada,Registro Civil das Pessoas Naturais e de Interdições e Tutelas / Registro de Imóveis / Registro de Títulos e Documentos e Civis das Pessoas Jurídicas,Ativo,PROVIDO,12/07/2010,RS,ARROIO DO MEIO,cartorioarroiodomeio@gmail.com,2024-07-10,DONATO THOMAS,EUNICE ARLETE THOMAS
09.850-9,19/09/1983,PALMITINHO OFÍCIO DOS REGISTROS PÚBLICOS,Privatizada,Protesto de Títulos / Registro Civil das Pessoas Naturais e de Interdições e Tutelas / Registro de Imóveis / Registro de Títulos e Documentos e Civis das Pessoas Jurídicas,Ativo,PROVIDO,12/07/2010,RS,PALMITINHO,cartoriopalmitinho@hotmail.com,2024-07-09,JOAO MIGUEL DOS SANTOS,ELIANA ARGENTA MARIANI
09.851-7,17/01/1980,OFICIO DOS REGISTROS PUBLICOS,Privatizada,Registro Civil das Pessoas Naturais e de Interdições e Tutelas / Registro de Imóveis / Registro de Títulos e Documentos e Civis das Pessoas Jurídicas,Ativo,PROVIDO,05/06/2014,RS,INDEPENDENCIA,cartorioindependencia@yahoo.com.br,1993-08-10,MADALENA MERINA MAICÁ,ANDREA LIANA BERG
09.852-5,23/07/1982,Ofício dos Registros Públicos,Privatizada,Protesto de Títulos / Registro Civil das Pessoas Naturais e de Interdições e Tutelas / Registro de Imóveis / Registro de Títulos e Documentos e Civis das Pessoas Jurídicas,Ativo,PROVIDO,19/05/2016,RS,IBIACA,registroibiaca@hotmail.com,2024-07-15,VELASCO BALEN,MARIA BEATRIZ AMARO BALEN
09.853-3,08/03/1951,Oficio dos Registros Públicos de Ciríaco-RS,Oficializada,Registro Civil das Pessoas Naturais e de Interdições e Tutelas / Registro de Imóveis / Registro de Títulos e Documentos e Civis das Pessoas Jurídicas,Ativo,PROVIDO,20/04/2022,RS,CIRIACO,ciriaco.cartorio@gmail.com,2018-10-26,MARILIA COVOLAN BIAZUS,RAFAEL TIBOLLA
09.854-1,01/04/1996,Ofício dos Registros Públicos,Privatizada,Registro Civil das Pessoas Naturais e de Interdições e Tutelas / Registro de Imóveis / Registro de Títulos e Documentos e Civis das Pessoas Jurídicas,Ativo,PROVIDO,12/03/2023,RS,TAQUARI,rptaquari@gmail.com,2024-07-12,PAULO THOMAS,DAIANE THOMAZ MEIRELES
09.855-8,17/11/1889,Ofício dos Registros Públicos de Arroio Grande,Privatizada,Registro Civil das Pessoas Naturais e de Interdições e Tutelas / Registro de Imóveis / Registro de Títulos e Documentos e Civis das Pessoas Jurídicas,Ativo,VAGO,05/05/2025,RS,ARROIO GRANDE,carinas@tjrs.jus.br,2025-05-02,CARINA GOULART DA SILVA,TANIZE BENITO PETER
09.856-6,28/08/1889,OFICIO DOS REGISTROS PUBLICOS,Privatizada,Protesto de Títulos / Registro Civil das Pessoas Naturais e de Interdições e Tutelas / Registro de Imóveis / Registro de Títulos e Documentos e Civis das Pessoas Jurídicas,Ativo,PROVIDO,12/07/2010,RS,SAO JOSE DO NORTE,cartoriosjn@outlook.com,2024-07-10,WILSON MULLER,-
09.857-4,13/03/1973,Ofício dos Registros Públicos de Chiapetta,Privatizada,Registro Civil das Pessoas Naturais e de Interdições e Tutelas / Registro de Imóveis / Registro de Títulos e Documentos e Civis das Pessoas Jurídicas,Ativo,PROVIDO,21/10/2021,RS,CHIAPETTA,cartorio.chiapetta@gmail.com,2019-07-15,RUBENS RAPHAEL TRANIN DE PAULI,KARINE MARIA FERREIRA DE PAULI
